rank,player,pos,team
1,Nikola Jokic,C,DEN
2,Victor Wembanyama,C,SA
3,Shai Gilgeous-Alexander,PG,OKC
4,Luka Doncic,PG,LAL
5,Giannis Antetokounmpo,PF/C,MIA
6,Cade Cunningham,PG,DET
7,Anthony Edwards,SG/SF,MIN
8,Tyrese Maxey,PG/SG,PHI
9,Jayson Tatum,SF/PF,BOS
10,Stephen Curry,PG,GS
11,Kevin Durant,SF/PF,HOU
12,Anthony Davis,PF/C,WAS
13,Donovan Mitchell,PG/SG,CLE
14,Tyrese Haliburton,PG/SG,IND
15,Jamal Murray,PG,DEN
16,Karl-Anthony Towns,C,NY
17,Cooper Flagg,SF/PF,DAL
18,Jalen Johnson,PF,ATL
19,Kawhi Leonard,SF/PF,TOR
20,Trae Young,PG,WAS
21,Trey Murphy III,SG/SF,NO
22,Scottie Barnes,SG/SF,TOR
23,Chet Holmgren,PF/C,OKC
24,James Harden,PG/SG,CLE
25,Austin Reaves,PG/SG,LAL
26,Evan Mobley,PF/C,CLE
27,Kyrie Irving,PG,DAL
28,Jaren Jackson Jr.,PF/C,UTA
29,Amen Thompson,SG/SF,HOU
30,Dejounte Murray,PG/SG,NO
31,Devin Booker,PG/SG,PHO
32,Lauri Markkanen,SF/PF,UTA
33,Desmond Bane,SG/SF,ORL
34,Walker Kessler,C,LAL
35,Josh Giddey,PG/SG,CHI
36,Zach Edey,C,MEM
37,Jalen Duren,C,DET
38,Darius Garland,PG,LAC
39,Jalen Williams,SF/PF,OKC
40,Domantas Sabonis,PF/C,SAC
41,LeBron James,SF/PF,PHI
42,Derrick White,PG/SG,BOS
43,Tyler Herro,PG/SG,MIL
44,Jalen Brunson,PG,NY
45,Nickeil Alexander-Walker,PG/SG,ATL
46,Franz Wagner,SF/PF,ORL
47,LaMelo Ball,PG,MIN
48,Onyeka Okongwu,C,ATL
49,Joel Embiid,C,PHI
50,Alperen Sengün,C,HOU
51,Kel'el Ware,C,MIL
52,Bam Adebayo,PF/C,MIA
53,Paul George,SF/PF,BOS
54,Brandon Miller,SG/SF,CHA
55,Jalen Suggs,PG/SG,ORL
56,Matas Buzelis,SF/PF,CHI
57,Kon Knueppel,SG/SF,CHA
58,OG Anunoby,SF/PF,NY
59,Kristaps Porzingis,PF/C,GS
60,Damian Lillard,PG,POR
61,Brandon Ingram,SF/PF,LAC
62,Jimmy Butler III,SG/SF,GS
63,Donovan Clingan,C,POR
64,Zion Williamson,PF/C,NO
65,Cameron Boozer,PF,MEM
66,Ty Jerome,PG/SG,MEM
67,Michael Porter Jr.,SF/PF,BKN
68,Naz Reid,PF/C,CHA
69,Ryan Rollins,PG/SG,MIL
70,Ivica Zubac,C,IND
71,Jaden McDaniels,SF/PF,MIN
72,Zach LaVine,SG/SF,SAC
73,John Collins,PF/C,DET
74,Mark Williams,C,PHO
75,Immanuel Quickley,PG/SG,TOR
76,Pascal Siakam,PF,IND
77,Rudy Gobert,C,MIN
78,Deni Avdija,SF/PF,POR
79,Payton Pritchard,PG/SG,BOS
80,Julius Randle,PF,BKN
81,De'Aaron Fox,PG/SG,SA
82,Dyson Daniels,PG/SG,ATL
83,Day'Ron Sharpe,C,BKN
84,Derik Queen,PF/C,NO
85,Jarrett Allen,C,CLE
86,Ja Morant,PG,POR
87,Keyonte George,PG/SG,UTA
88,Josh Hart,SG/SF,NY
89,VJ Edgecombe,SG,PHI
90,Andrew Wiggins,SF/PF,MIA
91,Ausar Thompson,SF/PF,DET
92,Ajay Mitchell,PG/SG,OKC
93,Ayo Dosunmu,PG/SG,MIN
94,Jakob Poeltl,C,TOR
95,Keegan Murray,SF/PF,SAC
96,Isaiah Hartenstein,C,OKC
97,Cameron Johnson,SF/PF,DEN
98,Coby White,PG/SG,CHA
99,Myles Turner,C,MIL
100,Norman Powell,SG/SF,CHI
101,Neemias Queta,C,BOS
102,Paolo Banchero,SF/PF,ORL
103,Mikal Bridges,SG/SF,NY
104,Cason Wallace,PG/SG,OKC
105,Sandro Mamukelashvili,PF/C,LAL
106,Miles Bridges,SF/PF,PHO
107,Dylan Harper,PG/SG,SA
108,Collin Murray-Boyles,PF,TOR
109,Alexandre Sarr,PF/C,WAS
110,Christian Braun,SG/SF,DEN
111,Tre Jones,PG,CHI
112,Brandin Podziemski,PG/SG,GS
113,De'Andre Hunter,SF/PF,SAC
114,Jabari Smith Jr.,PF/C,HOU
115,Caleb Wilson,SF,CHI
116,Mitchell Robinson,C,BOS
117,Cedric Coward,SG/SF,MEM
118,Jaylen Brown,SG/SF,PHI
119,Reed Sheppard,PG/SG,HOU
120,Paul Reed,PF/C,DET
121,Kevin Porter Jr.,PG/SG,MIL
122,Quentin Grimes,SG/SF,LAL
123,Draymond Green,PF/C,GS
124,Nicolas Claxton,C,CHI
125,Toumani Camara,SF/PF,POR
126,Collin Gillespie,PG,PHO
127,Cam Spencer,PG/SG,MEM
128,Gui Santos,SF,GS
129,Jrue Holiday,PG/SG,POR
130,Devin Vassell,SG/SF,SA
131,Saddiq Bey,SF/PF,NO
132,Jusuf Nurkic,C,UTA
133,Fred VanVleet,PG/SG,HOU
134,Aaron Nesmith,SG/SF,IND
135,CJ McCollum,PG/SG,ATL
136,Robert Williams III,C,POR
137,Andrew Nembhard,PG/SG,IND
138,Peyton Watson,SF/PF,CLE
139,Jalen Green,SG/SF,PHO
140,Kyshawn George,SG/SF,WAS
141,Anthony Black,PG/SG,ORL
142,P.J. Washington,SF/PF,DAL
143,Aaron Gordon,PF,DEN
144,Tari Eason,SF/PF,HOU
145,Malik Monk,PG/SG,SAC
146,Bobby Portis,PF/C,MIA
147,Jaime Jaquez Jr.,SG/SF,MIL
148,Wendell Carter Jr.,C,ORL
149,Stephon Castle,PG/SG,SA
150,RJ Barrett,SG/SF,TOR
151,Egor Demin,PG/SG,BKN
152,Tobias Harris,SF/PF,SA
153,Dereck Lively II,C,DAL
154,Darryn Peterson,PG/SG,UTA
155,Isaiah Stewart,PF/C,MEM
156,Santi Aldama,SF/PF,DAL
157,Herbert Jones,SF/PF,NO
158,Jaylin Williams,PF/C,OKC
159,Joan Beringer,C,MIN
160,Isaiah Joe,SG,DET
161,Julian Champagnie,SF/PF,SA
162,Obi Toppin,PF,IND
163,Bradley Beal,SG/SF,LAC
164,Grayson Allen,PG/SG,CHA
165,Collin Sexton,PG/SG,LAL
166,Shaedon Sharpe,SG/SF,POR
167,Moussa Diabaté,PF/C,CHA
168,Dru Smith,PG,MIA
169,Yanic Konan Niederhauser,C,LAC
170,Kelly Oubre Jr.,SG/SF,IND
171,Max Christie,SG,DAL
172,Dillon Brooks,SG/SF,PHO
173,Davion Mitchell,PG,MIA
174,Ace Bailey,SF/PF,UTA
175,Yaxel Lendeborg,SF/PF,GS
176,Jay Huff,C,IND
177,Scotty Pippen Jr.,PG/SG,MEM
178,Nikola Vucevic,C,ORL
179,De'Anthony Melton,PG/SG,GS
180,Daniel Gafford,C,DAL
181,Daniss Jenkins,PG,DET
182,Anfernee Simons,PG/SG,PHI
183,Naji Marshall,SF/PF,DAL
184,Royce O'Neale,SF/PF,CHA
185,Pelle Larsson,SG/SF,MIA
186,Jerami Grant,PF,MEM
187,Ryan Kalkbrenner,C,CHA
188,Duncan Robinson,SG/SF,DET
189,Luke Kornet,C,SA
190,Jared McCain,PG/SG,OKC
191,Alex Caruso,PG/SG,OKC
192,Rui Hachimura,SF/PF,LAC
193,Kris Dunn,PG/SG,LAC
194,Sam Merrill,SG,CLE
195,Mikel Brown Jr.,PG,BKN
196,Darius Acuff Jr.,PG,SAC
197,Derrick Jones Jr.,SF/PF,LAC
198,Maxime Raynaud,C,SAC
199,Jordan Poole,PG/SG,NO
200,Allen Graves,SF,TOR
